FName=FRANCIS
LName=GALLET
ID=GALLEFR#00101
Exam.Date=12_05_2011
View=4CH
2DS Date=2013_05_28
Knot positions (X:Y) in mm (relative to probe position)
FR= 55 Left Marker Time=0.090000 Right Marker Time=0.902000 ES Time=0.361000
Num Frames:  Knots:
        55       27
-21.84,  116.32,-21.82,  112.58,-21.74,  108.83,-21.51,  105.04,-21.02,  101.22,-20.18,  97.41,-18.99,  93.67,-17.63,  90.06,-16.55,  86.67,-16.33,  83.67,-17.10,  81.21,-18.54,  79.07,-20.39,  76.78,-22.43,  74.15,-24.36,  71.19,-25.90,  68.00,-26.97,  64.71,-27.60,  61.39,-27.84,  58.13,-27.78,  54.96,-27.51,  51.91,-27.09,  48.99,-26.59,  46.19,-26.05,  43.48,-25.48,  40.83,-24.90,  38.20,-24.32,  35.59,
-21.87,  117.05,-21.85,  113.29,-21.80,  109.50,-21.62,  105.68,-21.18,  101.82,-20.41,  97.97,-19.27,  94.17,-17.93,  90.52,-16.79,  87.12,-16.43,  84.13,-17.07,  81.66,-18.44,  79.50,-20.28,  77.18,-22.38,  74.53,-24.36,  71.55,-25.96,  68.33,-27.08,  64.98,-27.73,  61.62,-27.98,  58.31,-27.91,  55.10,-27.62,  52.01,-27.19,  49.05,-26.67,  46.22,-26.10,  43.48,-25.51,  40.79,-24.90,  38.14,-24.29,  35.49,
-21.55,  118.05,-21.58,  114.24,-21.59,  110.42,-21.49,  106.57,-21.17,  102.67,-20.51,  98.76,-19.48,  94.90,-18.19,  91.19,-17.03,  87.75,-16.53,  84.75,-17.00,  82.27,-18.28,  80.08,-20.13,  77.73,-22.29,  75.07,-24.37,  72.06,-26.06,  68.79,-27.25,  65.38,-27.94,  61.95,-28.21,  58.57,-28.14,  55.29,-27.83,  52.14,-27.37,  49.14,-26.82,  46.27,-26.22,  43.48,-25.59,  40.76,-24.94,  38.06,-24.29,  35.38,
-21.07,  118.87,-21.14,  115.04,-21.19,  111.21,-21.16,  107.35,-20.93,  103.45,-20.39,  99.53,-19.47,  95.64,-18.25,  91.89,-17.08,  88.42,-16.47,  85.38,-16.77,  82.83,-17.95,  80.56,-19.80,  78.18,-22.02,  75.52,-24.20,  72.52,-25.99,  69.24,-27.27,  65.79,-28.03,  62.31,-28.34,  58.86,-28.29,  55.53,-27.99,  52.32,-27.51,  49.27,-26.95,  46.35,-26.33,  43.52,-25.67,  40.74,-25.00,  38.00,-24.33,  35.27,
-20.60,  119.24,-20.68,  115.43,-20.76,  111.61,-20.77,  107.78,-20.61,  103.91,-20.15,  100.02,-19.32,  96.16,-18.15,  92.41,-16.99,  88.93,-16.31,  85.85,-16.49,  83.23,-17.59,  80.87,-19.44,  78.46,-21.70,  75.80,-23.94,  72.84,-25.82,  69.57,-27.18,  66.12,-28.00,  62.61,-28.36,  59.14,-28.34,  55.76,-28.04,  52.52,-27.57,  49.44,-27.00,  46.48,-26.37,  43.61,-25.71,  40.79,-25.03,  38.01,-24.34,  35.23,
-20.13,  119.19,-20.23,  115.42,-20.34,  111.65,-20.38,  107.87,-20.27,  104.07,-19.88,  100.25,-19.11,  96.43,-17.99,  92.72,-16.84,  89.26,-16.14,  86.16,-16.26,  83.50,-17.30,  81.09,-19.14,  78.65,-21.42,  76.01,-23.71,  73.08,-25.64,  69.85,-27.07,  66.41,-27.95,  62.89,-28.34,  59.39,-28.35,  55.99,-28.08,  52.72,-27.62,  49.61,-27.05,  46.62,-26.42,  43.72,-25.76,  40.88,-25.08,  38.06,-24.39,  35.25,
-19.76,  118.78,-19.87,  115.07,-19.98,  111.37,-20.04,  107.66,-19.96,  103.95,-19.60,  100.20,-18.86,  96.46,-17.76,  92.81,-16.62,  89.37,-15.92,  86.28,-16.02,  83.58,-17.05,  81.13,-18.88,  78.67,-21.16,  76.05,-23.46,  73.16,-25.42,  69.96,-26.88,  66.54,-27.79,  63.03,-28.21,  59.53,-28.25,  56.11,-28.00,  52.84,-27.56,  49.70,-27.00,  46.69,-26.39,  43.76,-25.74,  40.88,-25.07,  38.03,-24.39,  35.19,
-19.49,  118.20,-19.59,  114.55,-19.70,  110.92,-19.75,  107.29,-19.66,  103.65,-19.29,  100.00,-18.55,  96.35,-17.45,  92.77,-16.31,  89.38,-15.61,  86.28,-15.71,  83.53,-16.75,  81.01,-18.58,  78.53,-20.85,  75.91,-23.13,  73.05,-25.09,  69.90,-26.55,  66.52,-27.47,  63.04,-27.90,  59.54,-27.95,  56.13,-27.72,  52.84,-27.30,  49.69,-26.76,  46.64,-26.17,  43.67,-25.53,  40.75,-24.88,  37.85,-24.23,  34.97,
-19.39,  117.60,-19.45,  114.01,-19.51,  110.43,-19.53,  106.87,-19.40,  103.31,-18.99,  99.75,-18.20,  96.20,-17.08,  92.71,-15.92,  89.37,-15.19,  86.26,-15.28,  83.42,-16.32,  80.80,-18.15,  78.26,-20.39,  75.65,-22.64,  72.83,-24.57,  69.74,-26.02,  66.43,-26.94,  63.00,-27.39,  59.54,-27.46,  56.15,-27.25,  52.85,-26.86,  49.67,-26.35,  46.58,-25.77,  43.57,-25.17,  40.59,-24.54,  37.64,-23.91,  34.69,
-19.42,  117.00,-19.42,  113.47,-19.43,  109.95,-19.38,  106.46,-19.18,  103.00,-18.72,  99.53,-17.88,  96.09,-16.72,  92.71,-15.52,  89.44,-14.74,  86.33,-14.77,  83.40,-15.78,  80.66,-17.58,  78.04,-19.79,  75.42,-22.00,  72.66,-23.90,  69.66,-25.34,  66.43,-26.27,  63.07,-26.75,  59.66,-26.86,  56.29,-26.68,  52.98,-26.31,  49.77,-25.83,  46.65,-25.28,  43.57,-24.70,  40.54,-24.10,  37.52,-23.50,  34.50,
