FName=CHRISTIANE
LName=DUPUIS
ID=DUPUICH#08409
Exam.Date=28_09_2011
View=4CH
2DS Date=2013_05_28
Knot positions (X:Y) in mm (relative to probe position)
FR= 55 Left Marker Time=0.126000 Right Marker Time=0.848000 ES Time=0.469000
Num Frames:  Knots:
        55       35
-1.00,  125.46,-1.76,  122.79,-2.52,  120.14,-3.28,  117.56,-4.03,  115.10,-4.74,  112.79,-5.35,  110.57,-5.79,  108.36,-6.01,  106.02,-6.02,  103.42,-5.93,  100.56,-5.91,  97.50,-6.21,  94.40,-6.99,  91.45,-8.35,  88.85,-10.20,  86.74,-12.37,  85.14,-14.66,  83.97,-16.88,  83.03,-18.92,  82.13,-20.70,  81.12,-22.20,  79.95,-23.44,  78.59,-24.45,  77.04,-25.26,  75.30,-25.89,  73.36,-26.33,  71.19,-26.55,  68.79,-26.56,  66.19,-26.36,  63.41,-25.97,  60.49,-25.44,  57.48,-24.80,  54.41,-24.09,  51.31,-23.37,  48.20,
-1.65,  125.91,-2.36,  123.26,-3.05,  120.63,-3.75,  118.08,-4.44,  115.64,-5.12,  113.34,-5.73,  111.12,-6.22,  108.89,-6.50,  106.49,-6.57,  103.83,-6.52,  100.89,-6.53,  97.78,-6.83,  94.65,-7.63,  91.71,-9.01,  89.16,-10.89,  87.12,-13.09,  85.60,-15.41,  84.46,-17.66,  83.50,-19.73,  82.52,-21.52,  81.42,-23.01,  80.15,-24.22,  78.73,-25.19,  77.16,-25.98,  75.41,-26.58,  73.46,-26.99,  71.29,-27.19,  68.89,-27.18,  66.28,-26.95,  63.50,-26.53,  60.58,-25.96,  57.57,-25.29,  54.51,-24.56,  51.43,-23.79,  48.33,
-2.52,  125.95,-3.21,  123.32,-3.91,  120.72,-4.60,  118.20,-5.28,  115.80,-5.96,  113.52,-6.59,  111.31,-7.11,  109.03,-7.42,  106.54,-7.49,  103.77,-7.40,  100.74,-7.35,  97.58,-7.59,  94.44,-8.36,  91.53,-9.74,  89.04,-11.62,  87.04,-13.81,  85.53,-16.11,  84.37,-18.33,  83.36,-20.35,  82.31,-22.08,  81.14,-23.50,  79.83,-24.66,  78.38,-25.60,  76.79,-26.35,  75.03,-26.92,  73.07,-27.29,  70.89,-27.45,  68.49,-27.38,  65.88,-27.10,  63.10,-26.64,  60.20,-26.04,  57.21,-25.33,  54.17,-24.56,  51.11,-23.77,  48.04,
-3.25,  125.91,-4.00,  123.29,-4.74,  120.71,-5.47,  118.21,-6.19,  115.83,-6.89,  113.57,-7.55,  111.34,-8.09,  108.98,-8.39,  106.38,-8.39,  103.48,-8.18,  100.37,-8.00,  97.18,-8.14,  94.06,-8.85,  91.20,-10.17,  88.73,-12.01,  86.72,-14.17,  85.17,-16.42,  83.96,-18.59,  82.89,-20.53,  81.79,-22.18,  80.58,-23.55,  79.25,-24.66,  77.79,-25.56,  76.18,-26.28,  74.41,-26.80,  72.43,-27.12,  70.24,-27.23,  67.84,-27.11,  65.25,-26.78,  62.49,-26.28,  59.61,-25.64,  56.65,-24.90,  53.64,-24.11,  50.60,-23.30,  47.56,
-3.80,  125.57,-4.59,  122.99,-5.37,  120.44,-6.13,  117.98,-6.86,  115.64,-7.56,  113.40,-8.21,  111.16,-8.72,  108.75,-8.96,  106.06,-8.85,  103.11,-8.49,  99.98,-8.17,  96.81,-8.21,  93.72,-8.85,  90.87,-10.13,  88.37,-11.94,  86.30,-14.06,  84.69,-16.29,  83.42,-18.40,  82.31,-20.27,  81.18,-21.85,  79.96,-23.15,  78.62,-24.21,  77.15,-25.07,  75.54,-25.74,  73.75,-26.22,  71.77,-26.50,  69.58,-26.55,  67.18,-26.39,  64.60,-26.04,  61.87,-25.51,  59.02,-24.86,  56.08,-24.13,  53.10,-23.35,  50.10,-22.55,  47.08,
-4.05,  124.83,-4.83,  122.29,-5.60,  119.79,-6.35,  117.37,-7.06,  115.06,-7.73,  112.85,-8.32,  110.63,-8.75,  108.22,-8.88,  105.55,-8.65,  102.64,-8.18,  99.57,-7.78,  96.46,-7.75,  93.40,-8.36,  90.52,-9.61,  87.95,-11.40,  85.81,-13.52,  84.12,-15.73,  82.81,-17.79,  81.69,-19.60,  80.58,-21.12,  79.38,-22.36,  78.07,-23.38,  76.62,-24.20,  75.01,-24.83,  73.23,-25.26,  71.25,-25.48,  69.08,-25.50,  66.70,-25.32,  64.14,-24.95,  61.43,-24.44,  58.60,-23.82,  55.69,-23.13,  52.72,-22.40,  49.72,-21.65,  46.71,
-4.15,  123.83,-4.87,  121.32,-5.58,  118.84,-6.26,  116.43,-6.91,  114.14,-7.50,  111.95,-7.98,  109.76,-8.27,  107.41,-8.24,  104.84,-7.88,  102.06,-7.33,  99.11,-6.88,  96.06,-6.83,  93.01,-7.42,  90.08,-8.67,  87.43,-10.47,  85.19,-12.59,  83.44,-14.77,  82.10,-16.78,  81.00,-18.52,  79.95,-19.98,  78.84,-21.17,  77.62,-22.16,  76.24,-22.94,  74.69,-23.53,  72.95,-23.92,  71.00,-24.12,  68.85,-24.12,  66.50,-23.94,  63.96,-23.60,  61.27,-23.15,  58.45,-22.61,  55.54,-22.02,  52.58,-21.40,  49.59,-20.77,  46.58,
-4.31,  122.92,-4.93,  120.39,-5.55,  117.90,-6.14,  115.48,-6.68,  113.19,-7.15,  111.00,-7.48,  108.84,-7.58,  106.58,-7.37,  104.15,-6.87,  101.51,-6.23,  98.68,-5.72,  95.70,-5.63,  92.64,-6.18,  89.63,-7.42,  86.86,-9.20,  84.50,-11.32,  82.65,-13.48,  81.25,-15.46,  80.16,-17.14,  79.19,-18.54,  78.21,-19.70,  77.13,-20.67,  75.90,-21.45,  74.46,-22.05,  72.81,-22.45,  70.94,-22.65,  68.83,-22.68,  66.51,-22.55,  64.00,-22.29,  61.32,-21.94,  58.52,-21.53,  55.63,-21.08,  52.70,-20.62,  49.73,-20.15,  46.76,
-4.86,  122.09,-5.38,  119.54,-5.88,  117.03,-6.34,  114.61,-6.75,  112.31,-7.04,  110.15,-7.17,  108.04,-7.06,  105.88,-6.65,  103.58,-6.00,  101.09,-5.25,  98.39,-4.65,  95.47,-4.47,  92.37,-4.94,  89.25,-6.11,  86.32,-7.89,  83.79,-10.02,  81.79,-12.18,  80.29,-14.13,  79.17,-15.78,  78.25,-17.14,  77.39,-18.27,  76.48,-19.24,  75.43,-20.05,  74.18,-20.69,  72.68,-21.15,  70.92,-21.42,  68.89,-21.52,  66.61,-21.47,  64.12,-21.30,  61.46,-21.04,  58.68,-20.74,  55.82,-20.41,  52.91,-20.06,  49.98,-19.72,  47.04,
-5.82,  121.19,-6.24,  118.63,-6.64,  116.12,-6.99,  113.70,-7.26,  111.41,-7.37,  109.26,-7.30,  107.19,-6.97,  105.11,-6.39,  102.93,-5.59,  100.57,-4.73,  97.98,-4.03,  95.14,-3.75,  92.06,-4.12,  88.87,-5.24,  85.80,-7.01,  83.12,-9.15,  80.98,-11.31,  79.39,-13.26,  78.23,-14.89,  77.32,-16.22,  76.52,-17.33,  75.73,-18.29,  74.85,-19.11,  73.76,-19.79,  72.40,-20.31,  70.73,-20.64,  68.76,-20.81,  66.52,-20.81,  64.05,-20.70,  61.41,-20.51,  58.64,-20.26,  55.80,-19.99,  52.91,-19.71,  50.00,-19.43,  47.09,
